"feature1" "feature2" "feature3" "feature4" "feature5" "feature6" "feature7" "feature8" "label"
"1" 11 11 5 6 10 10 5 5 1
"2" 9 6 5 6 9 10 5 6 1
"3" 7 7 7 6 8 11 6 5 1
"4" 6 12 13 5 8 12 5 6 1
"5" 10 12 11 4 9 11 2 4 1
"6" 3 11 3 4 10 11 3 2 1
"7" 6 6 6 6 10 10 5 5 1
"8" 5 6 11 5 10 11 4 4 1
"9" 5 6 11 7 10 11 4 5 1
"10" 10 12 12 4 9 12 1 3 1
"11" 10 12 12 4 10 12 1 4 1
"12" 10 11 4 3 10 10 1 2 1
"13" 9 11 11 9 9 11 1 2 1
"14" 11 10 10 10 10 10 1 1 1
"15" 5 13 13 5 8 13 5 3 1
"16" 10 12 12 9 9 12 3 3 1
"17" 5 13 5 4 9 13 3 4 1
"18" 4 14 6 4 7 14 4 4 1
"19" 10 13 12 5 10 13 2 4 1
"20" 11 10 5 4 11 10 3 3 1
"21" 6 10 4 3 12 10 3 3 1
"22" 12 9 7 13 13 8 3 2 1
"23" 11 11 11 4 10 11 2 3 1
"24" 4 12 4 4 9 12 3 4 1
"25" 5 12 5 5 9 12 3 5 1
"26" 6 7 5 5 7 13 3 6 1
"27" 5 6 14 5 7 14 5 5 1
"28" 3 5 6 5 9 10 4 4 1
"29" 11 6 10 6 10 10 3 4 1
"30" 6 8 6 8 8 13 5 7 1
"31" 5 5 12 9 9 12 4 4 1
"32" 9 13 12 6 9 13 3 4 1
"33" 6 6 11 6 10 11 3 4 1
"34" 11 12 11 5 11 11 2 2 1
"35" 10 10 11 11 10 10 1 1 1
"36" 9 11 11 10 10 11 1 1 1
"37" 5 5 4 6 10 11 3 4 1
"38" 5 5 4 5 9 12 4 4 1
"39" 6 5 7 6 9 11 5 4 1
"40" 9 12 12 8 9 12 3 3 1
"41" 4 5 3 4 9 12 3 3 1
"42" 4 4 3 11 11 10 2 3 1
"43" 11 10 5 10 11 10 5 4 1
"44" 9 12 11 4 9 11 3 3 1
"45" 10 6 10 4 10 11 2 5 1
"46" 4 14 3 3 6 14 2 4 1
"47" 5 7 4 5 7 14 5 6 1
"48" 4 6 13 4 8 13 2 4 1
"49" 7 6 7 10 4 3 12 8 2
"50" 5 6 7 10 3 2 11 9 2
"51" 6 6 6 9 3 3 12 8 2
"52" 6 6 6 5 6 6 10 12 2
"53" 4 4 4 15 4 4 8 13 2
"54" 2 2 5 3 3 4 8 13 2
"55" 5 5 6 5 4 4 8 12 2
"56" 5 7 6 6 4 5 9 11 2
"57" 5 5 6 6 4 5 9 12 2
"58" 6 7 5 4 6 5 9 9 2
"59" 6 6 5 4 6 5 6 9 2
"60" 7 4 4 4 6 4 6 9 2
"61" 4 4 7 5 4 5 11 7 2
"62" 3 5 5 4 4 5 8 10 2
"63" 3 3 3 4 4 4 13 6 2
"64" 6 6 3 11 4 5 7 11 2
"65" 7 6 4 10 5 4 10 10 2
"66" 8 5 3 4 6 3 2 9 2
"67" 8 6 8 5 6 6 5 7 2
"68" 5 4 7 4 3 5 7 6 2
"69" 7 4 6 4 5 4 9 5 2
"70" 6 8 5 11 5 5 3 11 2
"71" 8 6 6 4 6 4 4 15 2
"72" 8 6 6 5 6 5 3 9 2
"73" 5 6 7 12 4 5 4 12 2
"74" 6 6 10 11 5 5 4 11 2
"75" 6 6 4 16 4 4 4 14 2
"76" 5 4 5 7 4 3 6 9 2
"77" 6 6 5 6 5 6 4 11 2
"78" 7 7 5 5 5 6 3 9 2
"79" 5 7 5 7 5 6 6 13 2
"80" 5 6 6 6 5 5 6 13 2
"81" 4 5 6 5 4 6 7 12 2
"82" 5 2 3 1 4 3 15 4 2
"83" 6 4 4 3 5 4 14 5 2
"84" 4 4 6 2 3 5 16 5 2
"85" 6 4 5 5 5 5 6 8 2
"86" 7 5 4 5 5 4 3 8 2
"87" 4 4 6 10 3 4 12 9 2
"88" 6 4 5 4 6 4 10 8 2
"89" 6 5 7 5 5 7 7 11 2
"90" 5 4 6 4 5 5 5 12 2
"91" 7 6 4 4 6 5 5 7 2
"92" 7 6 5 4 6 6 7 8 2
"93" 6 5 5 4 5 4 8 10 2
"94" 7 6 4 3 5 5 11 8 2
"95" 5 3 5 5 3 4 14 8 2
"96" 5 4 6 5 5 5 12 7 2
"97" 7 7 5 6 3 3 4 6 3
"98" 7 6 7 6 3 4 6 5 3
"99" 6 6 5 5 4 3 4 5 3
"100" 8 8 7 6 5 7 5 5 3
"101" 6 8 7 5 5 6 2 2 3
"102" 7 7 7 7 6 6 3 2 3
"103" 7 7 7 7 5 6 5 5 3
"104" 7 7 8 7 5 6 4 5 3
"105" 8 7 7 6 6 5 4 5 3
"106" 7 8 6 5 4 6 2 4 3
"107" 9 7 7 6 8 6 4 3 3
"108" 8 8 7 6 7 6 4 4 3
"109" 7 6 6 5 3 2 5 4 3
"110" 7 6 7 5 5 5 4 3 3
"111" 7 8 7 6 6 7 2 4 3
"112" 7 8 6 6 5 6 3 4 3
"113" 8 9 7 6 6 7 3 4 3
"114" 8 8 5 4 5 6 4 5 3
"115" 8 7 7 6 6 5 4 4 3
"116" 8 7 7 6 7 6 3 2 3
"117" 8 7 7 8 7 7 2 3 3
"118" 9 8 6 7 7 6 5 5 3
"119" 8 9 7 7 7 7 4 5 3
"120" 10 9 7 7 8 7 6 6 3
"121" 8 8 7 7 6 7 6 6 3
"122" 7 9 8 5 4 6 5 6 3
"123" 8 10 8 5 6 6 4 8 3
"124" 7 6 7 7 5 4 5 6 3
"125" 7 7 7 7 4 5 5 6 3
"126" 8 8 8 6 6 5 6 5 3
"127" 8 7 6 6 6 6 3 4 3
"128" 6 6 8 6 5 6 4 4 3
"129" 8 8 8 8 7 8 4 4 3
"130" 6 6 5 5 4 4 0 2 3
"131" 6 6 8 6 4 5 1 3 3
"132" 7 6 7 5 6 5 1 2 3
"133" 7 8 6 6 4 6 5 5 3
"134" 8 8 6 7 5 5 6 6 3
"135" 7 7 7 6 6 5 5 4 3
"136" 7 7 7 6 5 5 4 5 3
"137" 7 5 8 7 5 5 4 5 3
"138" 7 6 7 6 5 5 3 3 3
"139" 7 7 7 6 6 5 4 4 3
"140" 6 8 6 5 5 6 2 4 3
"141" 6 7 5 5 5 5 1 2 3
"142" 8 6 5 4 5 4 4 2 3
"143" 6 6 6 6 5 4 2 3 3
"144" 7 6 7 5 4 6 3 3 3
"145" 10 7 6 6 9 9 7 10 4
"146" 10 4 4 4 8 8 3 10 4
"147" 10 7 4 4 9 9 3 9 4
"148" 7 7 6 5 10 10 10 8 4
"149" 6 10 6 10 8 8 13 4 4
"150" 8 10 7 10 9 8 11 4 4
"151" 5 7 8 7 8 9 9 8 4
"152" 5 6 7 7 9 9 9 7 4
"153" 6 7 11 6 8 11 7 10 4
"154" 6 12 10 4 8 11 8 3 4
"155" 7 12 8 6 9 11 9 1 4
"156" 11 8 7 10 11 10 6 9 4
"157" 9 5 6 7 10 9 7 5 4
"158" 10 5 6 4 9 9 6 11 4
"159" 7 5 11 6 9 11 5 9 4
"160" 9 11 8 8 9 10 7 6 4
"161" 9 10 10 6 9 10 3 4 4
"162" 10 9 7 10 10 9 4 6 4
"163" 11 9 5 4 11 8 5 8 4
"164" 9 10 6 5 9 9 4 9 4
"165" 11 9 5 5 10 9 4 10 4
"166" 10 8 4 5 11 9 1 9 4
"167" 8 11 5 4 10 10 11 8 4
"168" 10 10 10 4 10 10 8 10 4
"169" 6 10 6 6 10 9 9 9 4
"170" 8 7 5 6 8 10 7 10 4
"171" 6 8 5 5 9 10 8 10 4
"172" 9 9 9 8 9 10 6 8 4
"173" 6 11 8 7 8 10 9 7 4
"174" 9 11 8 7 10 10 8 8 4
"175" 10 6 5 5 9 9 7 9 4
"176" 10 7 10 6 9 9 6 11 4
"177" 11 6 6 6 10 9 6 10 4
"178" 2 3 12 7 8 12 7 8 4
"179" 4 12 11 5 7 11 8 7 4
"180" 3 3 10 4 9 10 8 9 4
"181" 8 11 4 4 8 11 7 3 4
"182" 9 9 5 4 8 10 3 4 4
"183" 11 8 5 4 10 8 2 6 4
"184" 10 10 6 8 10 10 5 3 4
"185" 8 4 6 4 8 9 7 10 4
"186" 6 5 6 7 9 10 8 6 4
"187" 9 11 11 8 10 11 4 3 4
"188" 10 9 10 8 10 10 4 7 4
"189" 9 10 11 7 9 11 2 7 4
"190" 10 5 8 3 9 9 5 9 4
"191" 11 7 4 5 11 9 4 7 4
"192" 8 7 10 7 10 9 8 8 4
